                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.91688,                0.58204,                 1.1185,                      1,                0.75243,                0.85657,                0.55383,                 1.8318,                 1.5634,                 1.6606,               0.000812,               0.000812,               0.000812
                     63,                0.93105,                0.64427,                 1.1424,                0.99293,                0.75676,                0.86743,                0.51936,                 1.9383,                 1.2825,                  1.734,              0.0007922,              0.0007922,              0.0007922
                     64,                0.94754,                0.63572,                 1.1454,                0.98014,                0.72973,                0.86489,                0.49763,                  1.849,                 2.2789,                  1.733,              0.0007724,              0.0007724,              0.0007724
                     65,                0.90982,                0.57192,                 1.1078,                0.95295,                0.78378,                0.87789,                0.57174,                 1.9973,                 1.4159,                 1.7526,              0.0007526,              0.0007526,              0.0007526
                     66,                0.85515,                 0.5769,                 1.0835,                0.90613,                 0.7827,                 0.8706,                0.49182,                    2.1,                 1.0465,                 1.8211,              0.0007328,              0.0007328,              0.0007328
                     67,                0.91708,                0.62245,                 1.1103,                0.96243,                0.78378,                0.87689,                0.49651,                 2.2796,                  1.033,                 2.0321,               0.000713,               0.000713,               0.000713
                     68,                0.91007,                0.58553,                 1.1158,                      1,                0.77092,                0.89444,                0.58019,                 1.9705,                0.74098,                 1.6574,              0.0006932,              0.0006932,              0.0006932
                     69,                0.87312,                0.56145,                 1.0963,                0.92992,                0.78378,                0.87649,                0.52335,                 2.0522,                0.81476,                 1.7596,              0.0006734,              0.0006734,              0.0006734
                     70,                0.85418,                0.56127,                 1.0765,                      1,                0.78378,                0.89184,                0.56882,                 2.1582,                  1.045,                 1.8681,              0.0006536,              0.0006536,              0.0006536
                     71,                0.84803,                0.55079,                 1.0812,                0.91176,                0.83784,                0.90133,                0.55532,                 2.1643,                0.81859,                 1.9204,              0.0006338,              0.0006338,              0.0006338
                     72,                0.83881,                0.56059,                 1.0701,                0.95234,                0.78378,                0.87413,                0.53135,                 2.3468,                 0.8207,                  2.141,               0.000614,               0.000614,               0.000614
                     73,                0.85435,                0.56069,                 1.0829,                0.87879,                0.78378,                0.87081,                 0.5536,                 2.0499,                0.85883,                  1.838,              0.0005942,              0.0005942,              0.0005942
                     74,                0.82916,                0.55378,                 1.0864,                0.95224,                0.75676,                0.85482,                0.57831,                 2.1026,                0.85955,                 1.8587,              0.0005744,              0.0005744,              0.0005744
                     75,                0.83074,                0.51665,                 1.0647,                0.93128,                0.73256,                0.84687,                0.56446,                 1.9986,                0.97459,                 1.7913,              0.0005546,              0.0005546,              0.0005546
                     76,                0.84441,                0.54842,                 1.0607,                0.91365,                0.72973,                0.83822,                 0.5574,                 2.0125,                  1.014,                 1.7847,              0.0005348,              0.0005348,              0.0005348
                     77,                0.78344,                0.51947,                 1.0335,                0.88741,                0.75676,                0.84883,                0.56035,                 2.0598,                 1.1645,                 1.8377,               0.000515,               0.000515,               0.000515
                     78,                0.80545,                0.52913,                 1.0726,                0.87097,                0.72973,                0.84036,                0.59137,                 1.9257,                 1.0911,                  1.713,              0.0004952,              0.0004952,              0.0004952
                     79,                0.78419,                 0.5337,                 1.0492,                0.90323,                0.75676,                0.85647,                0.58321,                  2.092,                0.82192,                 1.8537,              0.0004754,              0.0004754,              0.0004754
                     80,                0.80422,                0.56978,                 1.0587,                0.88467,                0.78378,                0.86863,                0.59455,                 2.0019,                0.89346,                 1.7968,              0.0004556,              0.0004556,              0.0004556
                     81,                0.79446,                 0.5205,                   1.05,                 0.9478,                 0.7027,                0.84705,                0.56293,                 2.0227,                 1.1012,                 1.8136,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8129,                0.50994,                 1.0387,                0.99118,                0.75676,                0.85965,                0.58565,                 1.9598,                0.98785,                 1.7763,               0.000416,               0.000416,               0.000416
                     83,                0.78442,                0.50298,                 1.0402,                0.99095,                0.75676,                0.87252,                0.60093,                 2.0504,                 1.1359,                 1.8562,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.7848,                0.50978,                 1.0477,                0.90233,                0.78378,                0.86487,                 0.5443,                  2.136,                 1.4634,                  1.987,              0.0003764,              0.0003764,              0.0003764
                     85,                0.77717,                0.51197,                 1.0485,                0.93426,                0.76842,                0.86809,                0.57123,                 2.0363,                 1.5347,                 1.8965,              0.0003566,              0.0003566,              0.0003566
                     86,                0.78457,                 0.4906,                 1.0544,                0.93475,                0.77452,                0.87885,                0.56092,                 2.0008,                 1.1862,                  1.879,              0.0003368,              0.0003368,              0.0003368
                     87,                0.75699,                0.53486,                 1.0458,                0.96542,                0.75676,                 0.8664,                0.59416,                 1.9704,                 1.0118,                 1.7763,               0.000317,               0.000317,               0.000317
                     88,                 0.7642,                0.51607,                 1.0311,                0.92262,                0.75676,                0.87254,                 0.5534,                 1.9589,                0.99041,                 1.8212,              0.0002972,              0.0002972,              0.0002972
                     89,                0.74539,                0.47872,                 1.0426,                0.95303,                0.72973,                 0.8602,                0.54829,                 1.9781,                 1.0298,                 1.8362,              0.0002774,              0.0002774,              0.0002774
                     90,                0.76244,                0.49596,                 1.0436,                0.91818,                0.78378,                0.86985,                0.57994,                 2.1023,                0.92107,                  1.917,              0.0002576,              0.0002576,              0.0002576
                     91,                0.58814,                0.39653,                0.95639,                      1,                0.70047,                0.84087,                0.56196,                 2.0978,                 1.1085,                 1.8929,              0.0002378,              0.0002378,              0.0002378
                     92,                0.57176,                0.36714,                 0.9488,                      1,                 0.7027,                0.85132,                0.56951,                  2.157,                 1.1116,                 1.9521,               0.000218,               0.000218,               0.000218
                     93,                0.53823,                0.36297,                0.92069,                      1,                0.72973,                0.86486,                0.58188,                 2.1327,                0.98326,                 1.9482,              0.0001982,              0.0001982,              0.0001982
                     94,                0.53298,                0.34202,                 0.9379,                 0.9926,                0.75676,                0.87408,                0.57516,                 2.0844,                 0.8465,                 1.9163,              0.0001784,              0.0001784,              0.0001784
                     95,                0.54728,                0.32532,                 0.9281,                      1,                0.72783,                0.86811,                0.58015,                 2.1003,                0.77497,                 1.9311,              0.0001586,              0.0001586,              0.0001586
                     96,                0.51836,                0.31571,                0.90874,                0.93548,                0.78378,                0.88107,                0.57312,                 2.1164,                0.74568,                 1.9507,              0.0001388,              0.0001388,              0.0001388
                     97,                0.51299,                0.31595,                0.90531,                0.93548,                0.78378,                0.88301,                0.57424,                 2.1131,                0.78207,                 1.9527,               0.000119,               0.000119,               0.000119
                     98,                0.50562,                0.33491,                0.90074,                0.96468,                0.73831,                0.86908,                 0.5763,                 2.1143,                0.79311,                 1.9796,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.50242,                0.30506,                0.90626,                0.96605,                0.76921,                0.88082,                0.57856,                 2.0847,                0.78037,                  1.942,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.49556,                0.31636,                0.91562,                      1,                0.74536,                0.87989,                0.57725,                 2.0602,                0.77357,                  1.925,               5.96e-05,               5.96e-05,               5.96e-05
